,time,open,high,low,close,tick_volume,spread,real_volume
153,2021-10-22 09:48:00,1.16349,1.16353,1.16329,1.16341,55,0,0
154,2021-10-22 09:49:00,1.16342,1.16345,1.16339,1.16341,43,0,0
155,2021-10-22 09:50:00,1.16341,1.16358,1.1634,1.16357,44,0,0
156,2021-10-22 09:51:00,1.16357,1.1636,1.16345,1.16346,35,0,0
157,2021-10-22 09:52:00,1.16346,1.16355,1.16341,1.16352,49,0,0
158,2021-10-22 09:53:00,1.16353,1.16374,1.1635,1.16373,68,0,0
159,2021-10-22 09:54:00,1.16373,1.16373,1.1635900000000001,1.16366,104,0,0
160,2021-10-22 09:55:00,1.16366,1.16375,1.16365,1.16374,84,0,0
161,2021-10-22 09:56:00,1.16374,1.16374,1.1635900000000001,1.1636199999999999,66,0,0
162,2021-10-22 09:57:00,1.1636199999999999,1.16377,1.1635900000000001,1.16372,68,0,0
163,2021-10-22 09:58:00,1.1637,1.16382,1.16368,1.16369,74,0,0
164,2021-10-22 09:59:00,1.16369,1.16369,1.1636,1.16364,31,0,0
165,2021-10-22 10:00:00,1.16364,1.1638600000000001,1.1636199999999999,1.16364,91,0,0
166,2021-10-22 10:01:00,1.16365,1.16369,1.16353,1.16358,86,0,0
167,2021-10-22 10:02:00,1.16357,1.16388,1.16355,1.16385,80,0,0
168,2021-10-22 10:03:00,1.16387,1.16395,1.16378,1.16383,72,0,0
169,2021-10-22 10:04:00,1.16383,1.16385,1.1637,1.16377,102,0,0
170,2021-10-22 10:05:00,1.16377,1.16384,1.16377,1.16378,61,0,0
171,2021-10-22 10:06:00,1.16378,1.16378,1.16356,1.1636,63,0,0
172,2021-10-22 10:07:00,1.1635900000000001,1.16371,1.1635900000000001,1.16363,94,0,0
173,2021-10-22 10:08:00,1.16363,1.16373,1.16361,1.16369,82,0,0
174,2021-10-22 10:09:00,1.16369,1.16381,1.1636,1.16379,81,0,0
175,2021-10-22 10:10:00,1.16379,1.16383,1.16365,1.16369,93,0,0
176,2021-10-22 10:11:00,1.16367,1.1638,1.16363,1.16379,49,0,0
177,2021-10-22 10:12:00,1.1638,1.16392,1.16376,1.16392,64,0,0
178,2021-10-22 10:13:00,1.16392,1.16404,1.16391,1.16394,70,0,0
179,2021-10-22 10:14:00,1.16394,1.16394,1.16376,1.16376,68,0,0
180,2021-10-22 10:15:00,1.16387,1.16388,1.16365,1.16378,105,0,0
181,2021-10-22 10:16:00,1.16377,1.16394,1.16376,1.1638,58,0,0
182,2021-10-22 10:17:00,1.16379,1.164,1.16376,1.164,76,0,0
183,2021-10-22 10:18:00,1.164,1.16411,1.16397,1.16401,74,0,0
184,2021-10-22 10:19:00,1.16401,1.16403,1.1638600000000001,1.1639599999999999,89,0,0
185,2021-10-22 10:20:00,1.1639599999999999,1.1642299999999999,1.16395,1.164,109,0,0
186,2021-10-22 10:21:00,1.164,1.16409,1.16399,1.16409,92,0,0
187,2021-10-22 10:22:00,1.16411,1.16412,1.1639599999999999,1.164,72,0,0
188,2021-10-22 10:23:00,1.164,1.16409,1.164,1.16406,43,0,0
189,2021-10-22 10:24:00,1.16406,1.16413,1.16398,1.16413,63,0,0
190,2021-10-22 10:25:00,1.16413,1.16421,1.16398,1.16403,74,0,0
191,2021-10-22 10:26:00,1.16404,1.16413,1.16398,1.16407,56,0,0
192,2021-10-22 10:27:00,1.16407,1.16409,1.164,1.16405,49,0,0
193,2021-10-22 10:28:00,1.16404,1.16408,1.164,1.16403,30,0,0
194,2021-10-22 10:29:00,1.16403,1.16404,1.16391,1.16392,75,0,0
195,2021-10-22 10:30:00,1.16393,1.16417,1.1639,1.16397,120,0,0
196,2021-10-22 10:31:00,1.16397,1.16419,1.16397,1.16419,39,0,0
197,2021-10-22 10:32:00,1.16419,1.16445,1.16412,1.1644,91,0,0
198,2021-10-22 10:33:00,1.16439,1.1645699999999999,1.16432,1.16451,92,0,0
199,2021-10-22 10:34:00,1.16451,1.16452,1.16439,1.16445,111,0,0
200,2021-10-22 10:35:00,1.16445,1.16453,1.16441,1.1644700000000001,98,0,0
201,2021-10-22 10:36:00,1.16448,1.16448,1.16425,1.16425,81,0,0
202,2021-10-22 10:37:00,1.16426,1.16448,1.16425,1.1644,67,0,0
203,2021-10-22 10:38:00,1.1644,1.16453,1.16439,1.16446,71,0,0
204,2021-10-22 10:39:00,1.16446,1.1646,1.16442,1.16458,96,0,0
205,2021-10-22 10:40:00,1.1645699999999999,1.16461,1.1645,1.1645699999999999,81,0,0
206,2021-10-22 10:41:00,1.1645699999999999,1.16466,1.16444,1.16449,92,0,0
207,2021-10-22 10:42:00,1.1645,1.16453,1.16437,1.16446,72,0,0
208,2021-10-22 10:43:00,1.16446,1.1645,1.16439,1.16439,61,0,0
209,2021-10-22 10:44:00,1.1644,1.16449,1.1643,1.16431,57,0,0
210,2021-10-22 10:45:00,1.16431,1.16441,1.16425,1.16432,67,0,0
211,2021-10-22 10:46:00,1.16432,1.16437,1.16426,1.16437,54,0,0
212,2021-10-22 10:47:00,1.16437,1.16445,1.16437,1.16439,61,0,0
213,2021-10-22 10:48:00,1.16439,1.16448,1.16434,1.1644700000000001,44,0,0
214,2021-10-22 10:49:00,1.16446,1.16448,1.16425,1.16431,84,0,0
215,2021-10-22 10:50:00,1.16431,1.16439,1.16428,1.16433,56,0,0
216,2021-10-22 10:51:00,1.16433,1.16436,1.16421,1.16424,55,0,0
217,2021-10-22 10:52:00,1.16424,1.16434,1.16424,1.16432,44,0,0
218,2021-10-22 10:53:00,1.16427,1.16427,1.16407,1.16409,51,0,0
219,2021-10-22 10:54:00,1.16411,1.1642299999999999,1.16408,1.16416,48,0,0
